job_id,company,title,location,experience_level,required_skills,salary_range,description
4240734863,Google,"Senior Engineering Manager, Intelligence Team, Devices and Services","Mountain View, CA",Mid-Senior level,"Python, C, engineering, software development, management, leadership, AI","$197,000-$291,000","Minimum qualifications:


 * Bachelor’s degree or equivalent practical experience.
 * 8 years of experience in software development.
 * 3 years of experience in a technical leadership role; overseeing projects, with 2 years of experience in a people management, supervision/team leadership role.
 * Experience using Python libraries and frameworks.
 * Experience developing software applications using the C++ programming language.
   
   

Preferred qualifications:


 * Master’s degree or PhD in En..."
4192324451,Oracle,Software Development Senior Manager,"Seattle, WA",Mid-Senior level,"cloud, engineering, software development, management, leadership","$107,100 - $251,600","Job Description

As a Senior Software Development Manager within the Networking organization, you will manage a team supporting our VNICaaS platform. This platform powers many of our most critical network functions.

You will lead a team responsible for rapidly growing the platform as OCI grows while maintaining the stability that is required of a tier 0 service. You will work with our largest internal and external customers to build features necessary for their growth. You will balance the chal..."
4241254962,Oracle,Software Development Senior Manager,"Austin, TX",Mid-Senior level,"cloud, distributed systems, data structures, engineering, software development, algorithms, management","$212,514 - $251,999","Job Description

Entity: Oracle America, Inc.

Job Duties: Manage a team that designs, develops, troubleshoots and debugs software programs for databases, applications, tools, networks etc. As a manager of the software engineering division, you will apply your knowledge of software architecture to manage software development tasks associated with developing, debugging or designing software applications, operating systems and databases according to provided design specifications. Build enhancemen..."
4149774702,Oracle,Software Development Director,"Nashville, TN",Mid-Senior level,"cloud, distributed systems, engineering, management, leadership","$122,500 - $291,800","Job Description

Oracle Cloud Infrastructure (OCI) delivers mission-critical applications for top tier enterprises around the world. Our cloud offers unmatched hyper-scale, multi-tenant services deployed in more than 50 regions worldwide. OCI is expanding its mission beyond the traditional boundaries of public cloud to include dedicated, hybrid and multi cloud, edge computing, and more.

At Technical Strategy and Oversight (TSO) organization, our mission is to support customer choice, transparen..."
4211397674,Oracle,Software Development Director,"Redwood City, CA",Mid-Senior level,"software development, Python, cloud, engineering","$237,120 - $ $291,999","Job Description

Entity: Oracle America, Inc.

Job Duties: Manage a team that designs, develops, troubleshoots and debugs software programs for databases, applications, tools, networks etc. As a director of the software engineering division, you will apply your extensive knowledge of software architecture to manage software development tasks associated with developing, debugging or designing software applications, operating systems and databases according to provided design specifications. Build..."
4077928634,Amazon,"Applied Science Manager, Amazon Robotics","Seattle, WA",Mid-Senior level,"Python, Java, machine learning, C, engineering, software development, algorithms, management","$165,500/year in our lowest geographic market up to $286,000","Description

Do you want to create intelligent, adaptable robots with global impact? At Amazon Robotics, our collaborative team builds high-performance, real-time robotic systems that perceive, plan, and act intelligently alongside humans—at Amazon scale. Our mission is to enable robots to interact safely, efficiently, and fluently through the complex challenges of a company that sells everything, everywhere. We target high-impact algorithmic unlocks in areas such as scene and activity understan..."
4245175192,Oracle,Software Development Director,"Seattle, WA",Mid-Senior level,"cloud, distributed systems, engineering, management, leadership","$122,500 - $291,800","Job Description

Oracle Cloud Infrastructure (OCI) delivers mission-critical applications for top tier enterprises around the world. Our cloud offers unmatched hyper-scale, multi-tenant services deployed in more than 50 regions worldwide. OCI is expanding its mission beyond the traditional boundaries of public cloud to include dedicated, hybrid and multi cloud, edge computing, and more.

At Technical Strategy and Oversight (TSO) organization, our mission is to embark on ambitious new initiatives..."
4192325449,Oracle,Software Development Senior Manager,"Santa Clara, CA",Mid-Senior level,"cloud, engineering, software development, management, leadership","$107,100 - $251,600","Job Description

As a Senior Software Development Manager within the Networking organization, you will manage a team supporting our VNICaaS platform. This platform powers many of our most critical network functions.

You will lead a team responsible for rapidly growing the platform as OCI grows while maintaining the stability that is required of a tier 0 service. You will work with our largest internal and external customers to build features necessary for their growth. You will balance the chal..."
4247877963,Adobe,Software Development Manager,"Seattle, WA",Mid-Senior level,"software development, leadership, engineering","$143,700 -- $289,900","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences whe..."
4241052088,Amazon,"Software Development Manager, Amazon Optics","New York, United States",Mid-Senior level,"leadership, cloud, engineering, management","$166,400/year in our lowest geographic market up to $287,700","Description

Join our team to lead the development of Amazon's next-generation cloud-first physical security solutions. This role offers an opportunity to work in an environment with strong employee satisfaction metrics across inclusion, team effectiveness, and career growth.

We Are Confident You'll Love Working In Our Organization, But We'll Let The Data Speak For Itself. This Year, Employee Surveys Across Our Six Teams Show The Following

Inclusion: 90% favorable

Team Effectiveness: 88% favo..."
